,bitcoin_price,bitcoin_volume,bitcoin_market_cap,bitcoin_returns,bitcoin_volatility,score,No_Comments,title_sentiment,description_sentiment,score_lag1,score_lag2,score_lag3,score_lag4,score_lag5,score_lag6,score_lag7,No_Comments_lag1,No_Comments_lag2,No_Comments_lag3,No_Comments_lag4,No_Comments_lag5,No_Comments_lag6,No_Comments_lag7,title_sentiment_lag1,title_sentiment_lag2,title_sentiment_lag3,title_sentiment_lag4,title_sentiment_lag5,title_sentiment_lag6,title_sentiment_lag7,description_sentiment_lag1,description_sentiment_lag2,description_sentiment_lag3,description_sentiment_lag4,description_sentiment_lag5,description_sentiment_lag6,description_sentiment_lag7
2023-10-11,27392.247702732497,10151720983.669058,535200388379.76337,0.0026013034784148,0.4774856560131923,9.0,4.0,-0.84759754,-0.9993204,13.142605968320487,13.11604032537631,13.004291535463217,12.672458343636473,12.445256544886691,12.267292826617066,12.024376575983343,9.0,9.0,9.0,9.0,9.0,9.0,9.0,-0.13302548,-0.13226809,-0.13140553,-0.13095026,-0.13027076,-0.12915275,-0.12835838,-0.2029814,-0.2022886,-0.20132855,-0.20089382,-0.19997121,-0.1988525,-0.19800213
2023-10-12,26842.1904390924,14608441295.942532,523656381533.0463,-0.0200807640763714,0.4774856560131923,13.5,8.0,-0.98992205,-0.98992205,9.0,13.11604032537631,13.004291535463217,12.672458343636473,12.445256544886691,12.267292826617066,12.024376575983343,4.0,9.0,9.0,9.0,9.0,9.0,9.0,-0.84759754,-0.13226809,-0.13140553,-0.13095026,-0.13027076,-0.12915275,-0.12835838,-0.9993204,-0.2022886,-0.20132855,-0.20089382,-0.19997121,-0.1988525,-0.19800213
2023-10-13,26729.137205815103,10867640258.925844,521607675083.3507,-0.0042117737572058,0.4774856560131923,21.0,5.0,0.02746278,0.007927477,13.5,9.0,13.004291535463217,12.672458343636473,12.445256544886691,12.267292826617066,12.024376575983343,8.0,4.0,9.0,9.0,9.0,9.0,9.0,-0.98992205,-0.84759754,-0.13140553,-0.13095026,-0.13027076,-0.12915275,-0.12835838,-0.98992205,-0.9993204,-0.20132855,-0.20089382,-0.19997121,-0.1988525,-0.19800213
2023-10-14,26841.136220644406,14344414895.617512,523655619453.7407,0.0041901470282001,0.4774856560131923,13.169026443816875,9.0,0.9979038,0.9971832,21.0,13.5,9.0,12.672458343636473,12.445256544886691,12.267292826617066,12.024376575983343,5.0,8.0,4.0,9.0,9.0,9.0,9.0,0.02746278,-0.98992205,-0.84759754,-0.13095026,-0.13027076,-0.12915275,-0.12835838,0.007927477,-0.98992205,-0.9993204,-0.20089382,-0.19997121,-0.1988525,-0.19800213
2023-10-15,26863.18356907992,5543160607.188677,523979202939.078,0.0008214014583538,0.4774856560131923,19.0,6.0,-0.8980669,-0.8980669,13.169026443816875,21.0,13.5,9.0,12.445256544886691,12.267292826617066,12.024376575983343,9.0,5.0,8.0,4.0,9.0,9.0,9.0,0.9979038,0.02746278,-0.98992205,-0.84759754,-0.13027076,-0.12915275,-0.12835838,0.9971832,0.007927477,-0.98992205,-0.9993204,-0.19997121,-0.1988525,-0.19800213
2023-10-16,27150.29700140705,6604845643.42894,529643463244.3381,0.0106879898128531,0.4774856560131923,2.0,1.0,-0.35529494,-0.98124176,19.0,13.169026443816875,21.0,13.5,9.0,12.267292826617066,12.024376575983343,6.0,9.0,5.0,8.0,4.0,9.0,9.0,-0.8980669,0.9979038,0.02746278,-0.98992205,-0.84759754,-0.12915275,-0.12835838,-0.8980669,0.9971832,0.007927477,-0.98992205,-0.9993204,-0.1988525,-0.19800213
2023-10-17,28513.30993247735,22792799561.834,555338775502.1107,0.0502025053722123,0.4774856560131923,8.5,2.0,-0.99264,-0.99264,2.0,19.0,13.169026443816875,21.0,13.5,9.0,12.024376575983343,1.0,6.0,9.0,5.0,8.0,4.0,9.0,-0.35529494,-0.8980669,0.9979038,0.02746278,-0.98992205,-0.84759754,-0.12835838,-0.98124176,-0.8980669,0.9971832,0.007927477,-0.98992205,-0.9993204,-0.19800213
2023-10-18,28417.72175169982,10403248077.491972,555003134086.2079,-0.0033524056310506,0.4182698483406254,11.5,2.0,-0.93677014,-0.8762485,8.5,2.0,19.0,13.169026443816875,21.0,13.5,9.0,2.0,1.0,6.0,9.0,5.0,8.0,4.0,-0.99264,-0.35529494,-0.8980669,0.9979038,0.02746278,-0.98992205,-0.84759754,-0.99264,-0.98124176,-0.8980669,0.9971832,0.007927477,-0.98992205,-0.9993204
2023-10-19,28328.245198134824,13461030457.558895,553311088369.7102,-0.0031486181174831,0.3705023857153758,13.169026443816875,9.0,0.9979038,0.9971832,11.5,8.5,2.0,19.0,13.169026443816875,21.0,13.5,2.0,2.0,1.0,6.0,9.0,5.0,8.0,-0.93677014,-0.99264,-0.35529494,-0.8980669,0.9979038,0.02746278,-0.98992205,-0.8762485,-0.99264,-0.98124176,-0.8980669,0.9971832,0.007927477,-0.98992205
2023-10-20,28715.748142407952,11193923144.463654,559364043794.7655,0.013679031001138,0.3572569322073782,6.0,0.0,-0.78575706,-0.78575706,13.169026443816875,11.5,8.5,2.0,19.0,13.169026443816875,21.0,9.0,2.0,2.0,1.0,6.0,9.0,5.0,0.9979038,-0.93677014,-0.99264,-0.35529494,-0.8980669,0.9979038,0.02746278,0.9971832,-0.8762485,-0.99264,-0.98124176,-0.8980669,0.9971832,0.007927477
2023-10-21,29677.392888476206,23561406297.715862,579536788709.3126,0.0334884099588572,0.3874441123408037,12.0,1.0,0.39518687,0.39518687,6.0,13.169026443816875,11.5,8.5,2.0,19.0,13.169026443816875,0.0,9.0,2.0,2.0,1.0,6.0,9.0,-0.78575706,0.9979038,-0.93677014,-0.99264,-0.35529494,-0.8980669,0.9979038,-0.78575706,0.9971832,-0.8762485,-0.99264,-0.98124176,-0.8980669,0.9971832
2023-10-22,29920.07449265145,7452489477.484937,583719549318.5221,0.0081773222158432,0.3749401719609923,6.666666666666667,6.0,-0.99026936,-0.99373937,12.0,6.0,13.169026443816875,11.5,8.5,2.0,19.0,1.0,0.0,9.0,2.0,2.0,1.0,6.0,0.39518687,-0.78575706,0.9979038,-0.93677014,-0.99264,-0.35529494,-0.8980669,0.39518687,-0.78575706,0.9971832,-0.8762485,-0.99264,-0.98124176,-0.8980669
2023-10-23,30019.38050086351,11330304246.065748,583399133857.2509,0.0033190428130935,0.3845567245726204,4.0,1.0,-0.35529494,-0.98124176,6.666666666666667,12.0,6.0,13.169026443816875,11.5,8.5,2.0,6.0,1.0,0.0,9.0,2.0,2.0,1.0,-0.99026936,0.39518687,-0.78575706,0.9979038,-0.93677014,-0.99264,-0.35529494,-0.99373937,0.39518687,-0.78575706,0.9971832,-0.8762485,-0.99264,-0.98124176
2023-10-24,32953.262760830985,35558857925.14893,641535355789.0791,0.0977329382224621,0.6866076636112595,12.0,0.0,-0.92521083,-0.92521083,4.0,6.666666666666667,12.0,6.0,13.169026443816875,11.5,8.5,1.0,6.0,1.0,0.0,9.0,2.0,2.0,-0.35529494,-0.99026936,0.39518687,-0.78575706,0.9979038,-0.93677014,-0.99264,-0.98124176,-0.99373937,0.39518687,-0.78575706,0.9971832,-0.8762485,-0.99264
2023-10-25,33846.72425733224,46464714676.18555,660676033939.1393,0.0271129903884128,0.6542380663400541,27.0,11.0,-0.99476063,-0.99476063,12.0,4.0,6.666666666666667,12.0,6.0,13.169026443816875,11.5,0.0,1.0,6.0,1.0,0.0,9.0,2.0,-0.92521083,-0.35529494,-0.99026936,0.39518687,-0.78575706,0.9979038,-0.93677014,-0.92521083,-0.98124176,-0.99373937,0.39518687,-0.78575706,0.9971832,-0.8762485
